Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance
METAR;META;1432065749;167401;LGSO;Syros Airport;37.4228,24.9509;72m;1998-02-01T16:00:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;1539580124;167190;;Zakynthos;37.7833,20.8833;8m;2009-09-15T12:00:00Z;2009-10-18T18:00:00Z;-999;-999;-999
SYNOP;SYNO;1546924965;157410;;Svilengrad;41.7667,26.2;54m;1990-01-01T03:00:00Z;2005-06-30T12:00:00Z;-999;-999;-999
METAR;META;1553291327;167420;LGKO;Kos Airport;36.7933,27.0917;126m;1989-12-31T23:50:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;1639295887;136120;;unknown;41.3,19.4667;8m;1993-11-01T22:00:00Z;2004-11-16T06:00:00Z;-999;-999;-999
METAR;META;1716254686;166650;LGBL;Nea Anchialos National Airport;39.2196,22.7943;25m;1990-01-01T13:30:00Z;2017-11-30T22:50:00Z;-999;-999;-999
SYNOP;SYNO;1737494305;135760;;Mavrovo;41.7,20.75;1240m;2013-02-26T09:00:00Z;2017-11-30T15:00:00Z;-999;-999;-999
SYNOP;SYNO;1743780548;157120;;Sandanski;41.55,23.2667;203m;1990-01-01T00:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;1776262854;135840;;Solunska Glava;41.7333,21.5167;2540m;2001-07-05T06:00:00Z;2012-08-23T12:00:00Z;-999;-999;-999
SYNOP;SYNO;1837690324;167650;;Karpathos;35.5167,27.25;6m;1993-03-12T06:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;1844048164;166540;;Arta;39.1667,21;10m;1990-01-28T18:00:00Z;2009-10-18T18:00:00Z;-999;-999;-999
SYNOP;SYNO;1967240244;135850;;Prilep;41.3333,21.5667;673m;1991-07-01T03:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;1997402693;167580;;Rethymnon;35.35,24.5167;7m;1992-05-19T18:00:00Z;2003-03-17T06:00:00Z;-999;-999;-999
SYNOP;SYNO;2030755882;136290;;Korca;40.6,20.7667;889m;2011-05-25T18:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;2083339677;171840;LTBT;Akhisar Airport;38.8089,27.8339;80m;1990-01-01T00:00:00Z;2017-11-30T23:00:00Z;-999;-999;-999
SYNOP;SYNO;2097360273;166430;LGPZ;Aktion National Airport;38.9255,20.7653;3m;1990-01-01T00:00:00Z;2017-11-30T22:50:00Z;-999;-999;-999
SYNOP;SYNO;2115568661;135970;;Gevgelija;41.15,22.5;60m;2001-07-05T03:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
METAR;META;2221451437;167490;LGRP;Diagoras Airport;36.4054,28.0862;5m;1989-12-31T23:50:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;2268414081;166140;LGKA;Kastoria National Airport;40.4463,21.2822;661m;1990-01-01T06:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;2305721417;167260;LGKL;Kalamata Airport;37.0683,22.0255;8m;1990-01-30T00:00:00Z;2017-11-30T22:50:00Z;-999;-999;-999
SYNOP;SYNO;2313424574;171450;;Edremit;39.5833,27.0167;21m;1999-02-11T12:00:00Z;2007-05-09T12:00:00Z;-999;-999;-999
SYNOP;SYNO;2330072076;167410;;El Venizelos;37.9206,23.9314;72.45m;2009-09-15T12:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
METAR;META;2349896460;;LGNX;Naxos Apollon Airport;37.0811,25.3681;3m;2004-05-10T03:00:00Z;2017-11-30T08:50:00Z;-999;-999;-999
SYNOP;SYNO;2358914902;166100;;Komotini;41.1167,25.4;24m;1999-02-16T18:00:00Z;2003-10-17T12:00:00Z;-999;-999;-999
METAR;META;2430884558;;KQNC;Souda Bay/Crete;35.53,24.13;150m;1990-01-01T07:00:00Z;2004-11-18T07:00:00Z;-999;-999;-999
METAR;META;2454691819;167441;LGSR;Santorini Airport;36.3992,25.4793;39m;1991-08-01T21:00:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;2468525591;135900;;Gjuriste/PGC;41.9,21.85;854m;2001-07-13T00:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;2485571536;166670;LGMT;Mytilene International Airport;39.0567,26.5983;18m;1990-01-01T00:00:00Z;2017-11-30T20:20:00Z;-999;-999;-999
METAR;META;2491968511;;LGKP;Karpathos Airport;35.4214,27.146;20m;1991-09-20T18:00:00Z;2017-11-30T23:20:00Z;-999;-999;-999
METAR;META;2546760853;167460;LGSA;Chania International Airport;35.5317,24.1497;149m;1989-12-31T23:50:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;2690196817;166840;LGSY;Skiros Airport;38.9676,24.4872;13m;1990-01-01T06:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
METAR;META;2694673546;166850;LGKF;Kefallinia Airport;38.1201,20.5005;18m;1991-08-27T12:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;2699930600;135920;;Demir Kapija;41.4167,22.25;125m;1990-01-01T03:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;2724242681;167570;;Sitia;35.2,26.1;25m;2004-01-30T12:00:00Z;2017-11-30T12:00:00Z;-999;-999;-999
METAR;META;2734991504;167161;LGAV;Eleftherios Venizelos International Airport;37.9364,23.9445;94m;2004-01-05T21:20:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;2788921640;135810;;Topolcani/PGC;41.2167,21.4667;-9999m;2001-07-30T21:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
METAR;META;2797087497;166220;LGTS;Thessaloniki Macedonia International Airport;40.5197,22.9709;7m;1989-12-31T23:50:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;2844777955;167340;;Methoni;36.8333,21.7;33m;1990-01-01T00:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;2846641432;172920;;Mugla;37.2167,28.3667;646m;1990-01-01T00:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;2931361745;135750;;Pozarane/PGC;41.85,20.8667;885m;2001-07-25T15:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;2945366111;170500;;Edirne;41.6667,26.5667;51m;1990-01-01T00:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
METAR;META;2981544394;171500;LTBF;Balıkesir Merkez Airport;39.6193,27.926;104m;1989-12-31T23:50:00Z;2017-11-30T22:50:00Z;-999;-999;-999
SYNOP;SYNO;3002306048;167440;;Thira .;36.4167,25.4333;40m;1999-01-07T18:00:00Z;2001-12-27T12:00:00Z;-999;-999;-999
METAR;META;3009689374;;LGMK;Mikonos Airport;37.4351,25.3481;123m;1991-08-27T12:00:00Z;2017-11-30T17:50:00Z;-999;-999;-999
SYNOP;SYNO;3114573388;171120;LTBH;Çanakkale Airport;40.1377,26.4268;7m;1990-01-01T00:00:00Z;2017-11-30T20:50:00Z;-999;-999;-999
SYNOP;SYNO;3125970758;135910;;Stip;41.75,22.1833;326m;1990-01-01T03:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3128732537;136220;;Vlore;40.4667,19.4833;1m;2002-04-13T18:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3144290429;135790;;Ohrid/Intl;41.1,20.8167;705m;1991-07-01T09:00:00Z;2017-11-30T12:00:00Z;-999;-999;-999
METAR;META;3148588517;166320;LGKZ;Filippos Airport;40.2861,21.8408;628m;1991-08-28T03:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;3148908374;166740;;Aliartos;38.3833,23.1;110m;1990-01-31T18:00:00Z;2002-12-02T12:00:00Z;-999;-999;-999
METAR;META;3175544014;166240;LGKV;Kavala Alexander the Great International Airport;40.9133,24.6192;5m;1991-08-27T12:00:00Z;2017-11-30T22:50:00Z;-999;-999;-999
SYNOP;SYNO;3235218925;172200;;Izmir/Guzelyali;38.4333,27.1667;25m;1999-07-11T18:00:00Z;2017-11-30T23:00:00Z;-999;-999;-999
SYNOP;SYNO;3268567828;135780;LWOH;Ohrid St. Paul the Apostle Airport;41.18,20.7423;705m;1990-01-01T09:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3290492359;136250;LASK;Gjirokastër Airport;40.0879,20.1519;203m;1990-01-01T06:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3354032748;135940;;Vinica/PGC;41.8833,22.5;518m;2001-07-26T15:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3372427040;167600;;Kasteli;35.1833,25.3167;360m;2009-09-15T12:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3417545162;136110;;Durres;41.3,19.45;15m;1990-01-01T00:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3471896767;135930;;Pozar/PGC;41.3,22.4167;1031m;2001-11-13T06:00:00Z;2016-11-14T15:00:00Z;-999;-999;-999
SYNOP;SYNO;3477110151;135830;;Bitola;41.05,21.3667;586m;1990-01-01T00:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3484166486;172320;;Kusadasi;37.8667,27.25;20m;2007-01-27T01:00:00Z;2017-11-30T23:00:00Z;-999;-999;-999
SYNOP;SYNO;3523713805;135980;;Berovo;41.7167,22.85;834m;1991-07-01T03:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
